customer_id,age,income,gender,education,city,owns_house,credit_score,years_employed,loan_amount,loan_status
1,25,45000,Male,Bachelor,Addis Ababa,Yes,720,3,10000,Approved
2,34,78000,Female,Master,Adama,No,680,8,15000,Approved
3,29,52000,Male,High School,Hawassa,Yes,650,5,12000,Rejected
4,,61000,Female,Bachelor,Bahir Dar,No,700,6,18000,Approved
5,45,95000,Male,PhD,Addis Ababa,Yes,800,15,25000,Approved
6,23,38000,Female,High School,Adama,No,600,1,8000,Rejected
7,38,,Male,Master,Hawassa,Yes,710,10,20000,Approved
8,31,56000,Female,Bachelor,,No,690,4,14000,Rejected
9,52,110000,Male,PhD,Addis Ababa,Yes,820,20,30000,Approved
10,27,47000,Female,High School,Bahir Dar,No,,2,9000,Rejected
11,41,85000,Male,Master,Hawassa,Yes,750,12,22000,Approved
12,36,64000,Female,Bachelor,Adama,No,670,,16000,Rejected
13,30,59000,Male,Bachelor,Addis Ababa,Yes,705,7,17000,Approved
14,48,102000,Female,PhD,Bahir Dar,Yes,790,18,27000,Approved
15,26,43000,Male,High School,Hawassa,No,620,2,9500,Rejected
